ticker,company,market,meeting_type,run_no,status,elapsed_s,agenda,for,against,review,candidates
377300,카카오페이,KOSPI,annual,3,exact,27.9,6,1,0,5,6
326030,SK바이오팜,KOSPI,annual,1,exact,36.0,5,1,0,4,4
000880,한화,KOSPI,annual,3,exact,30.7,10,3,0,7,3
000100,유한양행,KOSPI,annual,1,exact,53.0,3,1,0,2,0
161390,한국타이어앤테크놀로지,KOSPI,annual,1,exact,33.0,10,2,0,8,4
326030,SK바이오팜,KOSPI,annual,2,exact,26.2,5,1,0,4,4
000100,유한양행,KOSPI,annual,2,exact,14.5,3,1,0,2,0
028050,삼성E&A,KOSPI,annual,1,exact,56.0,10,1,0,9,5
047040,대우건설,KOSPI,annual,1,exact,56.8,7,1,0,6,5
029780,삼성카드,KOSPI,annual,1,exact,50.7,10,1,0,9,7
161390,한국타이어앤테크놀로지,KOSPI,annual,2,exact,32.6,10,2,0,8,4
326030,SK바이오팜,KOSPI,annual,3,exact,32.4,5,1,0,4,4
000100,유한양행,KOSPI,annual,3,exact,31.4,3,1,0,2,0
028050,삼성E&A,KOSPI,annual,2,exact,15.6,10,1,0,9,5
047040,대우건설,KOSPI,annual,2,exact,19.6,7,1,0,6,5
029780,삼성카드,KOSPI,annual,2,exact,11.8,10,1,0,9,7
161390,한국타이어앤테크놀로지,KOSPI,annual,3,exact,11.2,10,2,0,8,4
028050,삼성E&A,KOSPI,annual,3,exact,15.3,10,1,0,9,5
078930,GS,KOSPI,annual,1,error,0.0,0,0,0,0,0
078930,GS,KOSPI,annual,2,error,0.0,0,0,0,0,0
078930,GS,KOSPI,annual,3,error,0.0,0,0,0,0,0
011070,LG이노텍,KOSPI,annual,1,exact,18.2,9,5,0,4,5
029780,삼성카드,KOSPI,annual,3,exact,13.3,10,1,0,9,7
047040,대우건설,KOSPI,annual,3,exact,21.3,7,1,0,6,5
032640,LG유플러스,KOSPI,annual,1,exact,31.1,7,1,0,6,4
128940,한미약품,KOSPI,annual,1,exact,37.6,7,4,0,3,3
011070,LG이노텍,KOSPI,annual,2,exact,19.6,9,5,0,4,5
052690,한전기술,KOSPI,annual,1,exact,58.1,4,1,1,2,1
064400,LG씨엔에스,KOSPI,annual,1,exact,58.5,4,1,0,3,1
011070,LG이노텍,KOSPI,annual,3,exact,52.8,9,4,0,5,5
001040,CJ,KOSPI,annual,1,error,0.0,0,0,0,0,0
001040,CJ,KOSPI,annual,2,error,0.0,0,0,0,0,0
001040,CJ,KOSPI,annual,3,error,0.0,0,0,0,0,0
034220,LG디스플레이,KOSPI,annual,1,exact,62.5,5,2,0,3,4
032640,LG유플러스,KOSPI,annual,2,exact,54.5,7,1,0,6,4
128940,한미약품,KOSPI,annual,2,exact,56.2,7,4,0,3,3
052690,한전기술,KOSPI,annual,2,exact,37.2,4,1,1,2,1
241560,두산밥캣,KOSPI,annual,1,exact,34.7,5,3,0,2,2
064400,LG씨엔에스,KOSPI,annual,2,exact,48.1,4,1,0,3,1
032640,LG유플러스,KOSPI,annual,3,exact,33.5,7,1,0,6,4
052690,한전기술,KOSPI,annual,3,exact,14.8,4,1,1,2,1
128940,한미약품,KOSPI,annual,3,exact,35.4,7,4,0,3,3
034220,LG디스플레이,KOSPI,annual,2,exact,44.5,10,3,0,7,4
064400,LG씨엔에스,KOSPI,annual,3,exact,17.5,4,1,0,3,1
241560,두산밥캣,KOSPI,annual,2,exact,19.5,5,3,0,2,2
034220,LG디스플레이,KOSPI,annual,3,exact,22.3,10,3,0,7,4
138930,BNK금융지주,KOSPI,annual,1,exact,36.5,9,1,0,8,5
241560,두산밥캣,KOSPI,annual,3,exact,18.5,5,3,0,2,2
175330,JB금융지주,KOSPI,annual,1,exact,37.9,7,2,0,5,6
454910,두산로보틱스,KOSPI,annual,1,exact,51.1,4,1,0,3,2
001440,대한전선,KOSPI,annual,1,exact,63.9,10,3,0,7,8
021240,코웨이,KOSPI,annual,1,exact,79.7,10,2,0,8,5
454910,두산로보틱스,KOSPI,annual,2,exact,72.0,4,1,0,3,2
271560,오리온,KOSPI,annual,1,timeout,90.0,0,0,0,0,0
001440,대한전선,KOSPI,annual,2,exact,53.2,10,3,0,7,8
138930,BNK금융지주,KOSPI,annual,2,timeout,90.0,0,0,0,0,0
175330,JB금융지주,KOSPI,annual,2,timeout,90.0,0,0,0,0,0
454910,두산로보틱스,KOSPI,annual,3,exact,53.9,4,1,0,3,2
021240,코웨이,KOSPI,annual,2,exact,60.4,10,2,0,8,5
271560,오리온,KOSPI,annual,2,exact,55.6,4,3,0,1,3
001440,대한전선,KOSPI,annual,3,exact,47.3,10,3,0,7,8
036570,엔씨소프트,KOSPI,annual,1,error,0.3,0,0,0,0,0
036570,엔씨소프트,KOSPI,annual,2,error,0.3,0,0,0,0,0
036570,엔씨소프트,KOSPI,annual,3,error,0.3,0,0,0,0,0
175330,JB금융지주,KOSPI,annual,3,exact,44.6,7,2,0,5,6
138930,BNK금융지주,KOSPI,annual,3,exact,45.4,9,1,0,8,5
021240,코웨이,KOSPI,annual,3,exact,13.4,10,2,0,8,5
271560,오리온,KOSPI,annual,3,exact,11.0,4,3,0,1,3
022100,포스코DX,KOSPI,annual,1,exact,18.0,5,1,0,4,3
