ticker,company,market,meeting_type,run_no,status,elapsed_s,agendas,followup_count
006260,LS,KOSPI,annual,1,no_filing,17.5,0,0
006260,LS,KOSPI,annual,2,no_filing,0.0,0,0
006260,LS,KOSPI,annual,3,no_filing,0.0,0,0
016360,삼성증권,KOSPI,annual,1,no_filing,19.0,0,0
016360,삼성증권,KOSPI,annual,2,no_filing,0.0,0,0
016360,삼성증권,KOSPI,annual,3,no_filing,0.0,0,0
003230,삼양식품,KOSPI,annual,1,no_filing,20.6,0,0
003230,삼양식품,KOSPI,annual,2,no_filing,0.0,0,0
003230,삼양식품,KOSPI,annual,3,no_filing,0.0,0,0
090430,아모레퍼시픽,KOSPI,annual,1,no_filing,14.8,0,0
090430,아모레퍼시픽,KOSPI,annual,2,no_filing,0.0,0,0
090430,아모레퍼시픽,KOSPI,annual,3,no_filing,0.0,0,0
180640,한진칼,KOSPI,annual,1,no_filing,19.9,0,0
180640,한진칼,KOSPI,annual,2,no_filing,0.2,0,0
180640,한진칼,KOSPI,annual,3,no_filing,0.0,0,0
377300,카카오페이,KOSPI,annual,1,no_filing,19.7,0,0
377300,카카오페이,KOSPI,annual,2,no_filing,1.6,0,0
377300,카카오페이,KOSPI,annual,3,no_filing,2.2,0,0
000880,한화,KOSPI,annual,1,no_filing,24.7,0,0
000880,한화,KOSPI,annual,2,no_filing,0.0,0,0
000880,한화,KOSPI,annual,3,no_filing,0.0,0,0
009830,한화솔루션,KOSPI,annual,1,no_filing,20.1,0,0
009830,한화솔루션,KOSPI,annual,2,no_filing,0.0,0,0
009830,한화솔루션,KOSPI,annual,3,no_filing,0.0,0,0
443060,HD현대마린솔루션,KOSPI,annual,1,no_filing,18.5,0,0
443060,HD현대마린솔루션,KOSPI,annual,2,no_filing,3.7,0,0
443060,HD현대마린솔루션,KOSPI,annual,3,no_filing,0.0,0,0
000100,유한양행,KOSPI,annual,1,no_filing,20.3,0,0
000100,유한양행,KOSPI,annual,2,no_filing,0.0,0,0
000100,유한양행,KOSPI,annual,3,no_filing,0.0,0,0
326030,SK바이오팜,KOSPI,annual,1,no_filing,26.0,0,0
326030,SK바이오팜,KOSPI,annual,2,no_filing,0.0,0,0
326030,SK바이오팜,KOSPI,annual,3,no_filing,0.0,0,0
047040,대우건설,KOSPI,annual,1,no_filing,23.4,0,0
161390,한국타이어앤테크놀로지,KOSPI,annual,1,no_filing,18.3,0,0
047040,대우건설,KOSPI,annual,2,no_filing,0.0,0,0
161390,한국타이어앤테크놀로지,KOSPI,annual,2,no_filing,0.0,0,0
047040,대우건설,KOSPI,annual,3,no_filing,0.0,0,0
161390,한국타이어앤테크놀로지,KOSPI,annual,3,no_filing,0.0,0,0
028050,삼성E&A,KOSPI,annual,1,no_filing,16.0,0,0
028050,삼성E&A,KOSPI,annual,2,no_filing,0.0,0,0
028050,삼성E&A,KOSPI,annual,3,no_filing,0.0,0,0
029780,삼성카드,KOSPI,annual,1,no_filing,12.7,0,0
029780,삼성카드,KOSPI,annual,2,no_filing,0.0,0,0
029780,삼성카드,KOSPI,annual,3,no_filing,0.0,0,0
011070,LG이노텍,KOSPI,annual,1,no_filing,17.3,0,0
011070,LG이노텍,KOSPI,annual,2,no_filing,1.8,0,0
011070,LG이노텍,KOSPI,annual,3,no_filing,0.1,0,0
128940,한미약품,KOSPI,annual,1,no_filing,21.3,0,0
128940,한미약품,KOSPI,annual,2,no_filing,0.0,0,0
128940,한미약품,KOSPI,annual,3,no_filing,0.0,0,0
032640,LG유플러스,KOSPI,annual,1,no_filing,21.8,0,0
032640,LG유플러스,KOSPI,annual,2,no_filing,0.6,0,0
032640,LG유플러스,KOSPI,annual,3,no_filing,0.0,0,0
078930,GS,KOSPI,annual,1,no_filing,23.2,0,0
078930,GS,KOSPI,annual,2,no_filing,0.0,0,0
078930,GS,KOSPI,annual,3,no_filing,0.0,0,0
052690,한전기술,KOSPI,annual,1,no_filing,19.7,0,0
052690,한전기술,KOSPI,annual,2,no_filing,0.0,0,0
052690,한전기술,KOSPI,annual,3,no_filing,0.0,0,0
064400,LG씨엔에스,KOSPI,annual,1,no_filing,22.1,0,0
064400,LG씨엔에스,KOSPI,annual,2,no_filing,0.0,0,0
064400,LG씨엔에스,KOSPI,annual,3,no_filing,0.0,0,0
034220,LG디스플레이,KOSPI,annual,1,no_filing,18.6,0,0
034220,LG디스플레이,KOSPI,annual,2,no_filing,0.0,0,0
034220,LG디스플레이,KOSPI,annual,3,no_filing,0.0,0,0
241560,두산밥캣,KOSPI,annual,1,no_filing,15.3,0,0
241560,두산밥캣,KOSPI,annual,2,no_filing,0.0,0,0
241560,두산밥캣,KOSPI,annual,3,no_filing,0.0,0,0
001040,CJ,KOSPI,annual,1,no_filing,28.1,0,0
001040,CJ,KOSPI,annual,2,no_filing,0.0,0,0
001040,CJ,KOSPI,annual,3,no_filing,0.0,0,0
454910,두산로보틱스,KOSPI,annual,1,no_filing,12.2,0,0
454910,두산로보틱스,KOSPI,annual,2,no_filing,0.0,0,0
454910,두산로보틱스,KOSPI,annual,3,no_filing,0.0,0,0
175330,JB금융지주,KOSPI,annual,1,no_filing,30.2,0,0
175330,JB금융지주,KOSPI,annual,2,no_filing,0.0,0,0
175330,JB금융지주,KOSPI,annual,3,no_filing,0.0,0,0
138930,BNK금융지주,KOSPI,annual,1,no_filing,49.8,0,0
138930,BNK금융지주,KOSPI,annual,2,no_filing,9.1,0,0
001440,대한전선,KOSPI,annual,1,no_filing,34.1,0,0
138930,BNK금융지주,KOSPI,annual,3,no_filing,0.1,0,0
001440,대한전선,KOSPI,annual,2,no_filing,0.1,0,0
001440,대한전선,KOSPI,annual,3,no_filing,0.0,0,0
021240,코웨이,KOSPI,annual,1,no_filing,15.3,0,0
021240,코웨이,KOSPI,annual,2,no_filing,0.0,0,0
021240,코웨이,KOSPI,annual,3,no_filing,0.0,0,0
271560,오리온,KOSPI,annual,1,no_filing,28.8,0,0
271560,오리온,KOSPI,annual,2,no_filing,0.0,0,0
