ticker,company,market,meeting_type,run_no,status,elapsed_s,agenda,for,against,review,candidates
071050,한국금융지주,KOSPI,annual,1,exact,21.4,10,6,0,4,5
071050,한국금융지주,KOSPI,annual,2,exact,0.0,10,6,0,4,5
071050,한국금융지주,KOSPI,annual,3,exact,0.0,10,6,0,4,5
018260,삼성에스디에스,KOSPI,annual,1,exact,15.7,6,3,0,3,2
018260,삼성에스디에스,KOSPI,annual,2,exact,0.0,6,3,0,3,2
018260,삼성에스디에스,KOSPI,annual,3,exact,0.0,6,3,0,3,2
323410,카카오뱅크,KOSPI,annual,1,exact,13.3,10,2,0,8,5
323410,카카오뱅크,KOSPI,annual,2,exact,0.0,10,2,0,8,5
323410,카카오뱅크,KOSPI,annual,3,exact,0.0,10,2,0,8,5
307950,현대오토에버,KOSPI,annual,1,exact,16.6,10,3,4,3,6
307950,현대오토에버,KOSPI,annual,2,exact,0.0,10,3,4,3,6
039490,키움증권,KOSPI,annual,1,exact,17.0,10,1,0,9,0
307950,현대오토에버,KOSPI,annual,3,exact,0.0,10,3,4,3,6
039490,키움증권,KOSPI,annual,2,exact,9.8,10,1,0,9,0
039490,키움증권,KOSPI,annual,3,exact,0.0,10,1,0,9,0
259960,크래프톤,KOSPI,annual,1,exact,26.9,4,1,0,3,1
259960,크래프톤,KOSPI,annual,2,exact,0.3,4,1,0,3,1
259960,크래프톤,KOSPI,annual,3,exact,0.0,4,1,0,3,1
007660,이수페타시스,KOSPI,annual,1,exact,13.5,5,1,0,4,1
007660,이수페타시스,KOSPI,annual,2,exact,0.0,5,1,0,4,1
007660,이수페타시스,KOSPI,annual,3,exact,0.0,5,1,0,4,1
003490,대한항공,KOSPI,annual,1,exact,20.5,4,1,1,2,1
003490,대한항공,KOSPI,annual,2,exact,0.0,4,1,1,2,1
003490,대한항공,KOSPI,annual,3,exact,0.0,4,1,1,2,1
003230,삼양식품,KOSPI,annual,1,exact,18.8,3,2,0,1,1
003230,삼양식품,KOSPI,annual,2,exact,0.0,3,2,0,1,1
003230,삼양식품,KOSPI,annual,3,exact,0.0,3,2,0,1,1
006260,LS,KOSPI,annual,1,exact,22.4,3,1,0,2,1
006260,LS,KOSPI,annual,2,exact,0.0,3,1,0,2,1
006260,LS,KOSPI,annual,3,exact,0.1,3,1,0,2,1
016360,삼성증권,KOSPI,annual,1,exact,20.7,10,1,0,9,0
016360,삼성증권,KOSPI,annual,2,exact,0.0,10,1,0,9,0
016360,삼성증권,KOSPI,annual,3,exact,0.2,10,1,0,9,0
090430,아모레퍼시픽,KOSPI,annual,1,exact,13.7,10,1,0,9,6
090430,아모레퍼시픽,KOSPI,annual,2,exact,0.0,10,1,0,9,6
090430,아모레퍼시픽,KOSPI,annual,3,exact,0.0,10,1,0,9,6
377300,카카오페이,KOSPI,annual,1,exact,13.7,6,1,0,5,6
180640,한진칼,KOSPI,annual,1,exact,13.9,10,5,0,5,3
377300,카카오페이,KOSPI,annual,2,exact,0.0,6,1,0,5,6
180640,한진칼,KOSPI,annual,2,exact,0.0,10,5,0,5,3
377300,카카오페이,KOSPI,annual,3,exact,0.0,6,1,0,5,6
180640,한진칼,KOSPI,annual,3,exact,0.0,10,5,0,5,3
443060,HD현대마린솔루션,KOSPI,annual,1,exact,26.7,10,1,0,9,5
443060,HD현대마린솔루션,KOSPI,annual,2,exact,0.0,10,1,0,9,5
443060,HD현대마린솔루션,KOSPI,annual,3,exact,0.0,10,1,0,9,5
000880,한화,KOSPI,annual,1,exact,28.8,10,3,0,7,3
000880,한화,KOSPI,annual,2,exact,0.0,10,3,0,7,3
000880,한화,KOSPI,annual,3,exact,0.1,10,3,0,7,3
