ticker,company,market,run_no,status,elapsed_s,major_count,treasury_pct
352820,하이브,KOSPI,3,exact,1.2,0,0
278470,에이피알,KOSPI,3,exact,1.1,0,0
005830,DB손해보험,KOSPI,3,exact,1.2,0,0
010950,S-Oil,KOSPI,1,exact,1.2,0,0
071050,한국금융지주,KOSPI,1,exact,1.1,0,0
005940,NH투자증권,KOSPI,1,exact,1.3,0,0
010950,S-Oil,KOSPI,2,exact,1.2,0,0
071050,한국금융지주,KOSPI,2,exact,1.2,0,0
005940,NH투자증권,KOSPI,2,exact,1.3,0,0
071050,한국금융지주,KOSPI,3,exact,1.0,0,0
010950,S-Oil,KOSPI,3,exact,1.3,0,0
005940,NH투자증권,KOSPI,3,exact,1.3,0,0
018260,삼성에스디에스,KOSPI,1,exact,1.2,0,0
323410,카카오뱅크,KOSPI,1,exact,1.1,0,0
039490,키움증권,KOSPI,1,exact,1.1,0,0
323410,카카오뱅크,KOSPI,2,exact,1.1,0,0
018260,삼성에스디에스,KOSPI,2,exact,1.3,0,0
039490,키움증권,KOSPI,2,exact,1.2,0,0
323410,카카오뱅크,KOSPI,3,exact,1.1,0,0
018260,삼성에스디에스,KOSPI,3,exact,1.2,0,0
039490,키움증권,KOSPI,3,exact,1.1,0,0
307950,현대오토에버,KOSPI,1,exact,1.2,0,0
003490,대한항공,KOSPI,1,exact,1.1,0,0
259960,크래프톤,KOSPI,1,exact,1.4,0,0
307950,현대오토에버,KOSPI,2,exact,1.1,0,0
003490,대한항공,KOSPI,2,exact,1.2,0,0
259960,크래프톤,KOSPI,2,exact,1.4,0,0
307950,현대오토에버,KOSPI,3,exact,1.2,0,0
003490,대한항공,KOSPI,3,exact,1.1,0,0
259960,크래프톤,KOSPI,3,exact,1.4,0,0
007660,이수페타시스,KOSPI,1,exact,1.3,0,0
006260,LS,KOSPI,1,exact,1.2,0,0
016360,삼성증권,KOSPI,1,exact,1.4,0,0
007660,이수페타시스,KOSPI,2,exact,1.3,0,0
006260,LS,KOSPI,2,exact,1.4,0,0
016360,삼성증권,KOSPI,2,exact,1.4,0,0
007660,이수페타시스,KOSPI,3,exact,1.2,0,0
006260,LS,KOSPI,3,exact,1.3,0,0
016360,삼성증권,KOSPI,3,exact,1.2,0,0
003230,삼양식품,KOSPI,1,exact,1.2,0,0
090430,아모레퍼시픽,KOSPI,1,exact,1.1,0,0
180640,한진칼,KOSPI,1,exact,1.2,0,0
003230,삼양식품,KOSPI,2,exact,1.4,0,0
090430,아모레퍼시픽,KOSPI,2,exact,1.2,0,0
180640,한진칼,KOSPI,2,exact,1.1,0,0
003230,삼양식품,KOSPI,3,exact,1.1,0,0
090430,아모레퍼시픽,KOSPI,3,exact,1.1,0,0
180640,한진칼,KOSPI,3,exact,1.1,0,0
377300,카카오페이,KOSPI,1,exact,1.1,0,0
000880,한화,KOSPI,1,exact,1.2,0,0
009830,한화솔루션,KOSPI,1,exact,1.2,0,0
377300,카카오페이,KOSPI,2,exact,1.1,0,0
000880,한화,KOSPI,2,exact,1.3,0,0
009830,한화솔루션,KOSPI,2,exact,1.1,0,0
377300,카카오페이,KOSPI,3,exact,1.2,0,0
000880,한화,KOSPI,3,exact,1.4,0,0
009830,한화솔루션,KOSPI,3,exact,1.1,0,0
443060,HD현대마린솔루션,KOSPI,1,exact,1.1,0,0
000100,유한양행,KOSPI,1,exact,1.2,0,0
326030,SK바이오팜,KOSPI,1,exact,1.1,0,0
443060,HD현대마린솔루션,KOSPI,2,exact,1.0,0,0
000100,유한양행,KOSPI,2,exact,1.1,0,0
326030,SK바이오팜,KOSPI,2,exact,1.1,0,0
443060,HD현대마린솔루션,KOSPI,3,exact,1.1,0,0
000100,유한양행,KOSPI,3,exact,1.1,0,0
326030,SK바이오팜,KOSPI,3,exact,1.2,0,0
047040,대우건설,KOSPI,1,exact,1.6,0,0
161390,한국타이어앤테크놀로지,KOSPI,1,exact,1.3,0,0
028050,삼성E&A,KOSPI,1,exact,1.1,0,0
047040,대우건설,KOSPI,2,exact,1.5,0,0
028050,삼성E&A,KOSPI,2,exact,1.1,0,0
161390,한국타이어앤테크놀로지,KOSPI,2,exact,1.3,0,0
028050,삼성E&A,KOSPI,3,exact,1.1,0,0
047040,대우건설,KOSPI,3,exact,1.6,0,0
161390,한국타이어앤테크놀로지,KOSPI,3,exact,1.3,0,0
029780,삼성카드,KOSPI,1,exact,1.2,0,0
011070,LG이노텍,KOSPI,1,exact,1.1,0,0
128940,한미약품,KOSPI,1,exact,1.1,0,0
029780,삼성카드,KOSPI,2,exact,1.2,0,0
128940,한미약품,KOSPI,2,exact,1.0,0,0
011070,LG이노텍,KOSPI,2,exact,1.2,0,0
128940,한미약품,KOSPI,3,exact,1.1,0,0
029780,삼성카드,KOSPI,3,exact,1.3,0,0
011070,LG이노텍,KOSPI,3,exact,1.2,0,0
052690,한전기술,KOSPI,1,exact,1.0,0,0
032640,LG유플러스,KOSPI,1,exact,1.2,0,0
078930,GS,KOSPI,1,exact,1.2,0,0
052690,한전기술,KOSPI,2,exact,1.2,0,0
032640,LG유플러스,KOSPI,2,exact,1.2,0,0
078930,GS,KOSPI,2,exact,1.3,0,0
052690,한전기술,KOSPI,3,exact,1.1,0,0
032640,LG유플러스,KOSPI,3,exact,1.2,0,0
078930,GS,KOSPI,3,exact,1.4,0,0
064400,LG씨엔에스,KOSPI,1,exact,1.2,0,0
034220,LG디스플레이,KOSPI,1,exact,1.2,0,0
001040,CJ,KOSPI,1,exact,1.3,0,0
064400,LG씨엔에스,KOSPI,2,exact,1.1,0,0
034220,LG디스플레이,KOSPI,2,exact,1.1,0,0
001040,CJ,KOSPI,2,exact,1.1,0,0
064400,LG씨엔에스,KOSPI,3,exact,1.1,0,0
034220,LG디스플레이,KOSPI,3,exact,1.2,0,0
001040,CJ,KOSPI,3,exact,1.3,0,0
241560,두산밥캣,KOSPI,1,exact,1.2,0,0
138930,BNK금융지주,KOSPI,1,exact,1.1,0,0
