corp_code,corp_name,stock_code,rcept_no,rcept_dt,report_nm,is_correction,is_extraordinary
01236286,컬러레이,900310,20250415000368,20250415,주주총회소집공고,False,False
01236286,컬러레이,900310,20240415000600,20240415,[기재정정]주주총회소집공고,True,False
01236286,컬러레이,900310,20240412003767,20240412,주주총회소집공고,False,False
00186939,특수건설,026150,20260313001033,20260313,주주총회소집공고,False,False
00186939,특수건설,026150,20250312000956,20250312,주주총회소집공고,False,False
00186939,특수건설,026150,20240312000992,20240312,[기재정정]주주총회소집공고,True,False
00186939,특수건설,026150,20240312000912,20240312,주주총회소집공고,False,False
00186939,특수건설,026150,20240219001398,20240219,[기재정정]주주총회소집공고,True,False
00186939,특수건설,026150,20240207000721,20240207,[기재정정]주주총회소집공고,True,False
00186939,특수건설,026150,20240207000673,20240207,주주총회소집공고,False,False
01169434,오가닉티코스메틱,900300,20260423000719,20260423,[기재정정]주주총회소집공고,True,False
01169434,오가닉티코스메틱,900300,20260422000580,20260422,[기재정정]주주총회소집공고,True,False
01169434,오가닉티코스메틱,900300,20260421000497,20260421,[기재정정]주주총회소집공고,True,False
01169434,오가닉티코스메틱,900300,20260408003361,20260408,주주총회소집공고,False,False
01169434,오가닉티코스메틱,900300,20260304000652,20260304,주주총회소집공고,False,False
01169434,오가닉티코스메틱,900300,20250926000507,20250926,주주총회소집공고,False,False
01169434,오가닉티코스메틱,900300,20250417000278,20250417,[기재정정]주주총회소집공고,True,False
01169434,오가닉티코스메틱,900300,20250403002954,20250403,주주총회소집공고,False,False
01169434,오가닉티코스메틱,900300,20241011000147,20241011,주주총회소집공고,False,False
01169434,오가닉티코스메틱,900300,20240416000475,20240417,[기재정정]주주총회소집공고,True,False
01169434,오가닉티코스메틱,900300,20240402003557,20240402,주주총회소집공고,False,False
01169434,오가닉티코스메틱,900300,20240221001456,20240221,주주총회소집공고,False,False
00133663,세동,053060,20260309001518,20260309,주주총회소집공고,False,False
00133663,세동,053060,20250311000479,20250311,주주총회소집공고,False,False
00133663,세동,053060,20240308000266,20240308,주주총회소집공고,False,False
00132318,성광벤드,014620,20260319000223,20260319,[기재정정]주주총회소집공고,True,False
00132318,성광벤드,014620,20260310002483,20260310,주주총회소집공고,False,False
00132318,성광벤드,014620,20250312000135,20250312,주주총회소집공고,False,False
00132318,성광벤드,014620,20240828000037,20240828,주주총회소집공고,False,False
00132318,성광벤드,014620,20240311000285,20240311,주주총회소집공고,False,False
