market,rank,ticker,company,rcept_dt,rcept_no,report_nm,category,plan_title,implementation_sections_count,embedded_results_count,implementation_tag_counts
KOSPI,41,003670,포스코퓨처엠,20241223,20241223800377,기업가치제고계획(자율공시)              ,plan,2024년 포스코퓨처엠 기업가치 제고 계획,0,0,{}
KOSPI,41,003670,포스코퓨처엠,20240829,20240829800515,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,42,096770,SK이노베이션,20241030,20241030800498,기업가치제고계획(자율공시)              ,plan,2024년 SK이노베이션 기업가치 제고계획,1,0,"{""implementation_outlook"": 1}"
KOSPI,43,272210,한화시스템,20260420,20260420800137,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),meta_amendment,2026년 한화시스템(주) 기업가치 제고 계획,0,0,{}
KOSPI,43,272210,한화시스템,20250626,20250626800212,기업가치제고계획(자율공시)              ((2025년)),plan,2025년 한화시스템(주) 기업가치 제고 계획,1,0,"{""meta_reference"": 1}"
KOSPI,43,272210,한화시스템,20250507,20250507800396,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,44,011070,LG이노텍,20251128,20251128800110,기업가치제고계획(자율공시)              (2025년 이행현황),progress,2025년 LG이노텍㈜ 기업가치 제고 계획 이행 현황,1,0,"{""implementation_status"": 1}"
KOSPI,44,011070,LG이노텍,20241122,20241122800037,기업가치제고계획(자율공시)              ,plan,LG이노텍㈜ 기업가치 제고 계획,1,0,"{""implementation_status"": 1}"
KOSPI,44,011070,LG이노텍,20241107,20241107800286,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,45,079550,LIG디펜스앤에어로스페이스,20260331,20260331802163,기업가치제고계획(자율공시)              ,plan,2026 엘아이지디펜스앤에어로스페이스 주식회사 기업가치 제고 계획,0,0,{}
KOSPI,46,033780,케이티앤지,20260327,20260327800467,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),meta_amendment,2025년 KT G 기업가치 제고계획 이행현황,3,1,"{""meta_reference"": 2, ""implementation_result"": 1}"
KOSPI,46,033780,케이티앤지,20250923,20250923800350,기업가치제고계획(자율공시)              ,progress,2025년 KT G 기업가치 제고계획 이행현황,6,0,"{""implementation_status"": 3, ""implementation_outlook"": 2, ""future_plan"": 1}"
KOSPI,46,033780,케이티앤지,20241107,20241107800360,기업가치제고계획(자율공시)              ,plan,KT G 기업가치 제고계획,1,0,"{""meta_reference"": 1}"
KOSPI,46,033780,케이티앤지,20240808,20240808800350,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,47,011200,HMM,20260327,20260327801384,기업가치제고계획(자율공시)              ,plan,2026년 에이치엠엠(주) 기업가치 제고 계획,4,0,"{""implementation_status"": 3, ""future_plan"": 1}"
KOSPI,47,011200,HMM,20250122,20250122800229,기업가치제고계획(자율공시)              ,plan,2025 에이치엠엠 기업가치 제고 계획,2,0,"{""future_plan"": 1, ""implementation_outlook"": 1}"
