isu_cd,effective_date,factor,event_type,source,evidence,price_check,confidence,note
208370,20170207,0.199999993673528,merge,v1+ledger,20170202900756,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
208860,20181029,3,bonus,disclosure,20181015000039,warn,confirmed,"신주 6,254,360 = 공시 bonus | 주식수반영일 20181119"
209640,20250904,2,bonus,disclosure,20250910000323,warn,confirmed,"신주 14,221,573 = 공시 bonus | 주식수반영일 20250923"
210120,20250124,2.5,split,v1+ledger,20250123900765,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
210120,20250131,2.99974941248676,bonus,disclosure,20250124000924,warn,confirmed,"신주 15,721,080 = 공시 bonus | 주식수반영일 20250224"
210980,20170407,1.5,bonus,disclosure,20170324000647,warn,confirmed,"신주 5,385,000 = 공시 bonus | 주식수반영일 20170428"
211050,20220622,2,bonus,disclosure,20220608000072,warn,confirmed,"신주 5,137,980 = 공시 bonus | 주식수반영일 20220713"
211050,20240429,5,split,v1+ledger,20240426900778,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
212560,20161229,1.49999295238095,bonus,disclosure,20161212000290,warn,confirmed,"신주 2,624,963 = 공시 bonus | 주식수반영일 20170118"
212560,20250714,1.49997415860875,bonus,disclosure,20250630000389,warn,confirmed,"신주 3,937,278 = 공시 bonus | 주식수반영일 20250804"
213420,20170616,1.99953963142199,bonus,disclosure,20170529000102,warn,confirmed,"신주 12,002,242 = 공시 bonus | 주식수반영일 20170707"
214180,20170420,2,bonus,disclosure,20170405000183,warn,confirmed,"신주 5,943,314 = 공시 bonus | 주식수반영일 20170519"
214310,20160912,1.48247910562574,bonus,disclosure,20160909000204,pass,confirmed,"신주 2,969,835 = 공시 bonus | 주식수반영일 20161005"
214310,20170203,5,split,v1+ledger,20170131900773,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
214310,20200131,0.199999997611367,merge,v1+ledger,20200130900533,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
214310,20211214,0.0999999847148346,reduction,v1+ledger,20211102000278,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
214310,20220913,7.05589094000891,split,v1+ledger,20220908900273,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
214310,20240830,0.0499999979614747,merge,v1+ledger,20240827900365,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
214320,20231129,2,bonus,disclosure,20231025000352,warn,confirmed,"신주 20,000,000 = 공시 bonus | 주식수반영일 20231221"
214330,20200723,3,bonus,disclosure,20200722000266,warn,confirmed,"신주 57,754,298 = 공시 bonus | 주식수반영일 20200813"
214330,20260504,0.1,merge,v1+ledger,20260306801215,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
214370,20230825,5,split,v1+ledger,20230824900440,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
214420,20161118,1.5,bonus,disclosure,20161103000075,warn,confirmed,"신주 5,880,000 = 공시 bonus | 주식수반영일 20161209"
214430,20170714,1.98961593172119,bonus,disclosure,20170627000063,warn,confirmed,"신주 3,339,360 = 공시 bonus | 주식수반영일 20170807"
214610,20231116,1.19997862185081,mixed,disclosure,20231102000139,pass,confirmed,"신주 7,260,844 = 공시 mixed | 주식수반영일 20231208"
214610,20250508,0.0999999844677228,reduction,v1+ledger,20250428000289,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
214870,20180124,2.06747815217661,bonus,disclosure,20180124000361,warn,confirmed,"신주 7,515,233 = 공시 bonus | 주식수반영일 20180214"
214870,20240624,0.19999999572614,reduction,v1+ledger,20240529000055,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
215090,20250926,0.2,merge,v1+ledger,20250925900648,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
215200,20180829,5,split,v1+ledger,20180824900511,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
215380,20190730,1.96833097634341,bonus,disclosure,20190731000269,warn,confirmed,"신주 4,862,902 = 공시 bonus | 주식수반영일 20190814"
215480,20170802,1.99999972415689,bonus,disclosure,20170718000052,warn,confirmed,"신주 18,126,241 = 공시 bonus | 주식수반영일 20170822"
215480,20220524,0.199999983359261,merge,v1+ledger,20220523900329,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
215790,20180524,0.201943447727487,merge,v1+ledger,20180518900471,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
216050,20171114,2.49999984148427,bonus,disclosure,20171031000434,warn,confirmed,"신주 4,731,391 = 공시 bonus | 주식수반영일 20171204"
216050,20220621,1.59408929898395,bonus,disclosure,20220607000005,warn,confirmed,"신주 4,786,445 = 공시 bonus | 주식수반영일 20220711"
216080,20200625,2,bonus,disclosure,20200611000127,warn,confirmed,"신주 8,689,257 = 공시 bonus | 주식수반영일 20200710"
216080,20250103,2,bonus,disclosure,20241210000096,warn,confirmed,"신주 17,892,259 = 공시 bonus | 주식수반영일 20250123"
217190,20251124,1.5,bonus,disclosure,20251110000063,warn,confirmed,"신주 4,384,587 = 공시 bonus | 주식수반영일 20251217"
217270,20170511,0.199999991556017,merge,v1+ledger,20170504900407,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
217330,20220928,2.97986462652825,bonus,disclosure,20220914000102,warn,confirmed,"신주 11,799,322 = 공시 bonus | 주식수반영일 20221019"
217620,20241118,0.1,reduction,v1+ledger,20241010000548,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
217820,20190923,2,bonus,disclosure,20190909000358,warn,confirmed,"신주 4,900,000 = 공시 bonus | 주식수반영일 20191014"
219420,20180223,4.68099049758929,bonus,disclosure,20180206000310,warn,confirmed,"신주 7,863,700 = 공시 bonus | 주식수반영일 20180313"
219550,20210527,0.0999999949892183,merge,v1+ledger,20210526900541,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
219550,20251208,0.249999970026524,reduction,v1+ledger,20251027000268,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
