bas_dd,n_stocks
20190430,2239
20190501,0
20190502,2239
20190503,2239
20190506,0
20190507,2239
20190508,2240
20190509,2240
20190510,2239
20190513,2239
20190514,2239
20190515,2239
20190516,2239
20190517,2239
20190520,2238
20190521,2238
20190522,2238
20190523,2239
20190524,2239
20190527,2239
20190528,2240
20190529,2240
20190530,2240
20190531,2242
20190603,2242
20190604,2242
20190605,2243
20190606,0
20190607,2243
20190610,2244
20190611,2244
20190612,2245
20190613,2245
20190614,2245
20190617,2245
20190618,2245
20190619,2246
20190620,2246
20190621,2246
20190624,2248
20190625,2248
20190626,2247
20190627,2247
20190628,2247
20190701,2248
20190702,2248
20190703,2248
20190704,2249
20190705,2249
20190708,2249
20190709,2249
20190710,2249
20190711,2250
20190712,2251
20190715,2252
20190716,2252
20190717,2252
20190718,2252
20190719,2253
20190722,2253
20190723,2253
20190724,2254
20190725,2255
20190726,2255
20190729,2255
20190730,2256
20190731,2256
20190801,2258
20190802,2259
20190805,2260
20190806,2260
20190807,2261
20190808,2262
20190809,2263
20190812,2263
20190813,2263
20190814,2264
20190815,0
20190816,2264
20190819,2265
20190820,2267
20190821,2267
20190822,2268
20190823,2268
20190826,2268
20190827,2268
20190828,2268
20190829,2268
20190830,2268
20190902,2268
20190903,2268
20190904,2268
20190905,2269
20190906,2269
20190909,2269
20190910,2269
20190911,2269
20190912,0
20190913,0
20190916,2268
20190917,2268
20190918,2270
20190919,2270
20190920,2271
20190923,2271
20190924,2271
20190925,2271
20190926,2271
20190927,2271
20190930,2272
20191001,2271
20191002,2272
20191003,0
20191004,2272
20191007,2272
20191008,2272
20191009,0
20191010,2271
20191011,2272
20191014,2273
20191015,2273
20191016,2273
20191017,2274
20191018,2281
20191021,2281
20191022,2282
20191023,2282
20191024,2283
20191025,2284
20191028,2284
20191029,2286
20191030,2288
20191031,2290
20191101,2291
20191104,2291
20191105,2292
20191106,2294
20191107,2295
20191108,2295
20191111,2296
20191112,2296
20191113,2297
20191114,2298
20191115,2298
20191118,2299
20191119,2300
20191120,2301
20191121,2302
20191122,2303
20191125,2304
20191126,2304
20191127,2305
20191128,2306
20191129,2307
20191202,2307
20191203,2308
20191204,2309
20191205,2310
20191206,2310
20191209,2311
20191210,2312
20191211,2313
20191212,2312
20191213,2312
20191216,2312
20191217,2313
20191218,2313
20191219,2316
20191220,2317
20191223,2318
20191224,2320
20191225,0
20191226,2323
20191227,2324
20191230,2324
20191231,0
20200101,0
20200102,2324
20200103,2323
20200106,2323
20200107,2323
20200108,2323
20200109,2323
20200110,2323
20200113,2323
20200114,2323
20200115,2322
20200116,2321
20200117,2321
20200120,2321
20200121,2322
20200122,2322
20200123,2322
20200124,0
20200127,0
20200128,2322
20200129,2322
20200130,2324
20200131,2324
20200203,2324
20200204,2324
20200205,2324
20200206,2324
20200207,2324
20200210,2325
20200211,2325
20200212,2325
20200213,2325
20200214,2324
20200217,2324
20200218,2324
20200219,2324
20200220,2325
20200221,2325
20200224,2325
20200225,2325
20200226,2325
20200227,2325
20200228,2326
20200302,2326
20200303,2326
20200304,2327
20200305,2327
20200306,2328
20200309,2328
20200310,2328
20200311,2329
20200312,2330
20200313,2330
20200316,2331
20200317,2331
20200318,2331
20200319,2331
20200320,2331
20200323,2331
20200324,2331
20200325,2331
20200326,2331
20200327,2331
20200330,2331
20200331,2331
20200401,2331
20200402,2331
20200403,2331
20200406,2331
20200407,2331
20200408,2330
20200409,2330
20200410,2329
20200413,2329
20200414,2329
20200415,0
20200416,2328
20200417,2328
20200420,2328
20200421,2328
20200422,2328
20200423,2328
20200424,2328
20200427,2327
20200428,2327
20200429,2327
20200430,0
20200501,0
20200504,2326
20200505,0
20200506,2326
20200507,2326
20200508,2326
20200511,2326
20200512,2326
20200513,2326
20200514,2325
20200515,2325
20200518,2325
20200519,2325
20200520,2326
20200521,2326
20200522,2325
20200525,2325
20200526,2325
20200527,2325
20200528,2325
20200529,2325
20200601,2324
20200602,2324
20200603,2324
20200604,2324
20200605,2325
20200608,2325
20200609,2325
20200610,2325
20200611,2325
20200612,2325
20200615,2325
20200616,2325
20200617,2327
20200618,2326
20200619,2326
20200622,2328
20200623,2327
20200624,2327
20200625,2328
20200626,2328
20200629,2328
20200630,2326
20200701,2325
20200702,2325
20200703,2325
20200706,2326
20200707,2326
20200708,2326
20200709,2326
20200710,2325
20200713,2325
20200714,2325
20200715,2326
20200716,2327
20200717,2327
20200720,2327
20200721,2326
20200722,2327
20200723,2329
20200724,2330
20200727,2330
20200728,2330
20200729,2332
20200730,2333
20200731,2333
20200803,2333
20200804,2333
20200805,2335
20200806,2337
20200807,2338
20200810,2339
20200811,2338
20200812,2339
20200813,2340
20200814,2340
20200817,0
20200818,2341
20200819,2341
20200820,2340
20200821,2341
20200824,2342
20200825,2342
20200826,2342
20200827,2342
20200828,2343
20200831,2344
20200901,2344
20200902,2344
20200903,2344
20200904,2344
20200907,2344
20200908,2344
20200909,2344
20200910,2345
20200911,2345
20200914,2346
20200915,2346
20200916,2347
20200917,2347
20200918,2349
20200921,2350
20200922,2353
20200923,2355
20200924,2356
20200925,2356
20200928,2356
20200929,2356
20200930,0
20201001,0
20201002,0
20201005,2356
20201006,2356
20201007,2356
20201008,2357
20201009,0
20201012,2357
20201013,2357
20201014,2357
20201015,2358
20201016,2358
20201019,2359
20201020,2359
20201021,2359
20201022,2360
20201023,2360
20201026,2360
20201027,2360
20201028,2361
20201029,2362
20201030,2363
20201102,2363
20201103,2363
20201104,2363
20201105,2363
20201106,2364
20201109,2364
20201110,2364
20201111,2364
20201112,2365
20201113,2365
20201116,2365
20201117,2366
20201118,2367
20201119,2367
20201120,2369
20201123,2369
20201124,2369
20201125,2370
20201126,2371
20201127,2371
20201130,2371
20201201,2371
20201202,2373
20201203,2373
20201204,2374
20201207,2375
20201208,2375
20201209,2377
20201210,2378
20201211,2379
20201214,2380
20201215,2380
20201216,2381
20201217,2382
20201218,2381
20201221,2383
20201222,2384
20201223,2387
20201224,2387
20201225,0
20201228,2388
20201229,2388
20201230,2388
20201231,0
20210101,0
20210104,2388
20210105,2388
20210106,2388
20210107,2388
20210108,2388
20210111,2388
20210112,2388
20210113,2388
20210114,2388
20210115,2387
20210118,2387
20210119,2387
20210120,2387
20210121,2389
20210122,2389
20210125,2391
20210126,2391
20210127,2392
20210128,2394
20210129,2395
20210201,2395
20210202,2396
