market,rank,ticker,company,market_cap
KOSPI,183,077970,STX엔진,"20,014"
KOSPI,184,017960,한국카본,"19,239"
KOSPI,185,023590,다우기술,"19,003"
KOSPI,186,002790,아모레퍼시픽홀딩스,"18,885"
KOSPI,187,298020,효성티앤씨,"18,306"
KOSPI,188,005070,코스모신소재,"18,135"
KOSPI,189,001120,LX인터내셔널,"17,791"
KOSPI,190,462870,시프트업,"17,303"
KOSPI,191,395400,SK리츠,"17,007"
KOSPI,192,361610,SK아이이테크놀로지,"16,971"
KOSPI,193,001740,SK네트웍스,"16,850"
KOSPI,194,003540,대신증권,"16,562"
KOSPI,195,006040,동원산업,"16,553"
KOSPI,196,006280,녹십자,"16,244"
KOSPI,197,003570,SNT다이내믹스,"15,862"
KOSPI,198,001800,오리온홀딩스,"15,849"
KOSPI,199,069620,대웅제약,"15,781"
KOSPI,200,032350,롯데관광개발,"15,403"
KOSPI,201,020560,아시아나항공,"15,367"
KOSPI,202,475150,SK이터닉스,"14,938"
KOSPI,203,003530,한화투자증권,"14,825"
KOSPI,204,192080,더블유게임즈,"14,673"
KOSPI,205,030610,교보증권,"14,587"
KOSPI,206,006110,삼아알미늄,"14,579"
KOSPI,207,294870,IPARK현대산업개발,"14,500"
KOSPI,208,073240,금호타이어,"14,291"
KOSPI,209,195870,해성디에스,"14,195"
KOSPI,210,007310,오뚜기,"14,027"
KOSPI,211,281820,케이씨텍,"13,978"
KOSPI,212,004000,롯데정밀화학,"13,932"
KOSPI,213,093370,후성,"13,847"
KOSPI,214,012630,HDC,"13,651"
KOSPI,215,034230,파라다이스,"13,617"
KOSPI,216,090460,비에이치,"13,299"
KOSPI,217,181710,NHN,"13,101"
KOSPI,218,000210,DL,"12,615"
KOSPI,219,415640,KB발해인프라,"12,291"
KOSPI,220,082640,동양생명,"12,173"
KOSPI,221,003090,대웅,"12,035"
KOSPI,222,000080,하이트진로,"11,874"
KOSPI,223,100090,SK오션플랜트,"11,783"
KOSPI,224,089860,롯데렌탈,"11,583"
KOSPI,225,006340,대원전선,"11,456"
KOSPI,226,003470,유안타증권,"11,437"
KOSPI,227,003240,태광산업,"11,401"
KOSPI,228,330590,롯데리츠,"11,270"
KOSPI,229,300720,한일시멘트,"11,216"
KOSPI,230,280360,롯데웰푸드,"11,193"
KOSPI,231,185750,종근당,"11,042"
KOSPI,232,456040,OCI,"11,012"
KOSPI,233,009450,경동나비엔,"10,722"
KOSPI,234,033240,자화전자,"10,716"
KOSPI,235,001820,삼화콘덴서공업,"10,603"
KOSPI,236,005300,롯데칠성음료,"10,550"
KOSPI,237,000670,영풍,"10,200"
KOSPI,238,298050,HS효성첨단소재,"10,192"
KOSPI,239,057050,현대홈쇼핑,"10,188"
KOSPI,240,365550,ESR켄달스퀘어리츠,"10,151"
KOSPI,241,108320,LX세미콘,"10,116"
KOSPI,242,137310,에스디바이오센서,"10,046"
KOSPI,243,005690,파미셀,"9,967"
KOSPI,244,010780,아이에스동서,"9,781"
KOSPI,245,248070,솔루엠,"9,515"
KOSPI,246,075580,세진중공업,"9,392"
KOSPI,247,192400,쿠쿠홀딩스,"9,371"
KOSPI,248,451800,한화리츠,"9,303"
KOSPI,249,003160,디아이,"9,240"
KOSPI,250,006120,SK디스커버리,"9,142"
KOSPI,251,499790,GS피앤엘,"9,083"
KOSPI,252,100840,SNT에너지,"9,079"
KOSPI,253,079900,전진건설로봇,"8,989"
KOSPI,254,001510,SK증권,"8,905"
KOSPI,255,036530,SNT홀딩스,"8,869"
KOSPI,256,064960,SNT모티브,"8,864"
KOSPI,257,030190,NICE평가정보,"8,790"
KOSPI,258,006650,대한유화,"8,736"
KOSPI,259,025540,한국단자공업,"8,598"
KOSPI,260,002020,코오롱,"8,558"
KOSPI,261,071320,지역난방공사,"8,464"
KOSPI,262,214320,이노션,"8,420"
KOSPI,263,000370,한화손해보험,"8,394"
KOSPI,264,005880,대한해운,"8,327"
KOSPI,265,003850,보령,"8,278"
KOSPI,266,004490,세방전지,"8,247"
KOSPI,267,178920,PI첨단소재,"8,076"
KOSPI,268,336370,솔루스첨단소재,"8,047"
KOSPI,269,285130,SK케미칼,"8,009"
KOSPI,270,484870,엠앤씨솔루션,"7,982"
KOSPI,271,079160,CJ CGV,"7,865"
